season,team,offense_completion_percentage,offense_total_yards_gained_pass,offense_total_yards_gained_run,offense_ave_yards_gained_pass,offense_ave_yards_gained_run,offense_n_plays_pass,offense_n_plays_run,offense_n_interceptions,offense_n_fumbles_lost_pass,offense_n_fumbles_lost_run,offense_total_epa_pass,offense_total_epa_run,offense_ave_epa_pass,offense_ave_epa_run,offense_total_wpa_pass,offense_total_wpa_run,offense_ave_wpa_pass,offense_ave_wpa_run,offense_success_rate_pass,offense_success_rate_run,defense_completion_percentage,defense_total_yards_gained_pass,defense_total_yards_gained_run,defense_ave_yards_gained_pass,defense_ave_yards_gained_run,defense_n_plays_pass,defense_n_plays_run,defense_n_interceptions,defense_n_fumbles_lost_pass,defense_n_fumbles_lost_run,defense_total_epa_pass,defense_total_epa_run,defense_ave_epa_pass,defense_ave_epa_run,defense_total_wpa_pass,defense_total_wpa_run,defense_ave_wpa_pass,defense_ave_wpa_run,defense_success_rate_pass,defense_success_rate_run,points_scored,points_allowed,wins,losses,ties,score_differential
1999,ARI,0.477462437,2796,1209,4.667779633,3.1484375,599,384,28,4,5,-121.9738973,-71.17154579,-0.203629211,-0.185342567,-3.528762914,-2.196875261,-0.00589109,-0.005721029,0.358931553,0.34375,0.557251908,3143,2258,5.998091603,4.350674374,524,519,17,5,3,-8.645207406,4.92799699,-0.016498487,0.009495177,-2.161615308,-0.336979386,-0.00412522,-0.000649,0.421755725,0.414258189,245,382,6,10,0,-137
1999,ATL,0.503663004,3317,1176,6.075091575,3.195652174,546,368,18,7,6,-27.66662907,-78.8831732,-0.050671482,-0.214356449,-1.867335725,-1.88291411,-0.003420029,-0.005116614,0.402930403,0.328804348,0.541082164,3129,2057,6.270541082,4.285416667,499,480,11,1,4,25.42130326,-22.01432202,0.050944496,-0.045863171,-0.337427632,-0.817869782,-0.000676,-0.001703895,0.402805611,0.38125,285,380,5,11,0,-95
1999,BAL,0.452079566,2805,1663,5.072332731,4.126550868,553,403,18,9,2,-97.07765957,-35.46113043,-0.175547305,-0.087992879,-2.554213483,-2.126050616,-0.004618831,-0.00527556,0.34358047,0.369727047,0.494915254,2647,1112,4.486440678,3.132394366,590,355,19,4,1,-101.9682127,-61.29538366,-0.172827479,-0.172663053,-2.628819919,-1.917301566,-0.004455627,-0.005400849,0.357627119,0.318309859,324,277,8,8,0,47
1999,BUF,0.540489642,3275,2038,6.167608286,4.125506073,531,494,14,5,6,24.7048309,-45.29295301,0.046525105,-0.09168614,-0.268737712,-1.089347035,-0.000506,-0.002205156,0.43126177,0.370445344,0.497217069,2669,1342,4.951762523,3.41475827,539,393,12,4,5,-82.65620902,-70.35566491,-0.153351037,-0.179022048,-2.511908533,-2.1430801,-0.004660313,-0.00545313,0.352504638,0.320610687,320,229,11,5,0,91
1999,CAR,0.551612903,4144,1484,6.683870968,4.289017341,620,346,14,7,7,67.95987819,-56.79683161,0.109612707,-0.164152693,-1.787592714,-1.176117334,-0.002883214,-0.003399183,0.459677419,0.346820809,0.549319728,3519,1871,5.984693878,4.351162791,588,430,15,8,1,29.27005499,21.78517496,0.049779005,0.050663198,-0.085239139,0.063879024,-0.000145,0.000148556,0.452380952,0.41627907,421,381,8,8,0,40
1999,CHI,0.561181435,4090,1359,5.752461322,3.548302872,711,383,20,9,5,-23.42414655,-65.94540688,-0.032945354,-0.172181219,-1.838303079,-1.868058599,-0.002585518,-0.004877438,0.426160338,0.347258486,0.571895425,3793,1833,6.197712418,4.40625,612,416,14,7,7,22.95543593,-35.02656898,0.037508882,-0.084198483,-0.248111563,-1.310421012,-0.000405,-0.003150051,0.442810458,0.372596154,272,341,6,10,0,-69
1999,CIN,0.498310811,3178,1971,5.368243243,4.626760563,592,426,18,5,3,-62.30835831,-15.93383594,-0.105250605,-0.037403371,-1.696911611,-0.993446897,-0.002866405,-0.002332035,0.407094595,0.392018779,0.560578662,3784,1699,6.842676311,3.843891403,553,442,12,4,8,90.21808954,-50.29907703,0.163143019,-0.113798817,0.292672409,-1.715225947,0.000529245,-0.003880602,0.464737794,0.366515837,283,460,4,12,0,-177
1999,CLE,0.489010989,2574,1140,4.714285714,3.665594855,546,311,14,5,3,-75.87258139,-34.26259068,-0.138960772,-0.110169102,-1.966244236,-1.428273057,-0.00360118,-0.004592518,0.342490842,0.356913183,0.598901099,3226,2686,5.908424908,4.599315068,546,584,8,6,5,78.53581377,28.97303312,0.143838487,0.049611358,1.209454504,-0.374556262,0.002215118,-0.000641,0.490842491,0.448630137,217,437,2,14,0,-220
1999,DAL,0.55984556,3083,2054,5.951737452,4.288100209,518,479,12,3,7,9.831819942,-26.48951191,0.018980347,-0.055301695,-1.451675898,-1.192270238,-0.002802463,-0.002489082,0.384169884,0.407098121,0.512237762,3326,1417,5.814685315,3.533665835,572,401,23,3,5,-42.16217554,-58.45536478,-0.073710097,-0.145773977,-2.0766535,-0.259805305,-0.003630513,-0.000648,0.391608392,0.364089776,352,276,8,8,0,76
1999,DEN,0.54592721,3378,1852,5.854419411,4.052516411,577,457,18,4,5,-12.9756937,-36.69037766,-0.022488204,-0.08028529,-2.641288238,-1.977458313,-0.004577623,-0.004327042,0.428076256,0.36761488,0.526522593,2977,1742,5.848722986,4.108490566,509,424,15,5,3,-33.97077691,-33.19109236,-0.06674023,-0.078280878,-2.398602781,-2.666748208,-0.004712383,-0.0062895,0.422396857,0.358490566,314,318,6,10,0,-4
